type,sequence
train,1-1-1-67-48-5-3-6-4
train,22-40-40-41-23-41-1-1-0-2-5-11-3-11-11-11-11-11-11-11-11-11-11-11-6-4
train,3-5-11-11-11-11-6-4
train,14-24-25-24-25-24-25-0-2-0-2-27-14-14-3-4
train,5-11-3-11-11-11-6-4
validation,5-11-3-11-11-11-6-4
train,3-4
train,9-27-3-5-11-11-11-11-11-11-11-11-11-11-6-4
train,57-65-38-39-66
train,38-57-38-39-57-65-66
train,5-11-1-6-11-5-11-11-11-11-3-6-4
train,57-65-38-39-38-38-39-38-38-39-66
train,38-57-38-39-57-65-66
train,38-57-38-39-3-4
train,3-4
train,8-8-8-8-3-8-8-8-8-4
validation,14-5-11-3-11-11-11-11-11-6-4
train,57-65-38-39-66
train,38-57-38-39-57-65-66
test,1-1-3-5-11-11-6-4
train,9-3-5-6-5-11-11-14-11-11-11-11-11-11-6-9-9-5-6-4
train,14-14-57-65-38-39-38-38-39-66
train,38-57-38-39-65-57-66
train,1-14-1-5-11-3-11-11-11-6-4
train,57-65-38-39-66
train,38-57-38-39-57-65-66
train,65-57-1-1-66
train,1-57-65-38-39-38-38-39-38-38-39-66
train,38-57-38-39-57-65-66
train,1-1-5-6-3-4
train,36-5-11-11-6-9-27-16-5-11-3-11-6-4
train,5-11-3-11-6-5-11-11-11-11-6-4
train,5-11-11-11-3-11-11-11-11-11-11-11-6-4
validation,57-65-38-39-38-38-39-66
train,38-57-38-38-39-57-65-66
test,0-2-27-1-1-3-5-11-11-11-11-11-11-11-11-6-4
test,5-11-3-11-6-4
test,8-3-8-8-8-4
validation,3-4
train,9-5-11-3-11-6-4
train,14-5-11-3-11-6-4
validation,57-65-38-39-38-38-39-38-38-39-38-38-39-66
test,38-57-38-39-57-65-66
train,1-14-5-11-11-11-11-6-5-11-11-6-1-0-2-0-2-0-2-0-2-5-11-11-3-6-5-11-11-6-4
train,14-3-5-11-11-6-27-27-27-5-11-11-6-4
train,57-65-38-39-38-38-39-66
train,38-57-38-39-65-57-66
train,1-0-2-0-2-5-3-11-11-6-9-4
train,9-3-5-11-11-11-11-11-11-6-4
train,3-5-11-11-11-11-6-9-14-4
train,57-65-38-39-38-66
train,38-57-38-39-57-65-66
train,1-1-5-11-3-11-6-4
train,8-8-8-8-8-8-5-11-3-11-6-5-11-11-6-4
train,5-6-5-11-11-11-3-11-11-11-11-11-11-11-6-4
validation,3-34-14-29-35-28-28-29-29-28-35-29-35-35-29-35-35-5-11-11-11-11-6-4
train,35-3-28-35-5-11-11-6-4
validation,5-11-3-11-11-11-6-4
validation,5-11-3-11-11-11-6-35-9-9-5-11-11-11-11-6-4
train,1-1-57-65-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-65-57-66
test,0-2-0-2-0-2-0-2-5-11-3-11-6-4
train,57-65-38-39-38-38-39-38-38-39-66
train,38-57-38-39-65-57-66
train,1-5-11-11-6-5-11-3-11-11-11-11-14-11-11-11-6-4
train,65-57-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-57-65-66
train,1-1-5-6-8-8-8-8-5-11-3-11-11-14-11-11-11-6-4
train,57-65-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
validation,38-57-38-39-57-65-66
test,8-1-1-8-8-8-8-8-5-11-3-11-11-11-11-11-11-11-6-4
train,14-57-65-38-39-38-38-39-66
train,38-57-38-39-57-65-66
train,1-1-14-57-65-38-39-66
train,38-57-38-39-57-65-66
train,1-1-55-14-55-57-65-38-39-38-39-38-38-39-38-66
train,38-57-38-39-65-57-66
train,1-1-5-6-5-11-3-11-11-11-11-11-6-4
train,8-8-3-4
train,8-8-8-8-3-5-11-14-11-11-11-6-4
train,65-57-38-39-38-38-39-38-38-39-66
train,38-57-38-39-57-65-66
train,1-1-57-65-66
train,1-1-1-1-14-57-65-38-39-38-38-66
validation,38-39-38-57-38-39-38-14-38-38-39-57-65-14-66
train,1-6-3-4
test,3-4
validation,5-11-11-3-11-11-11-11-6-4
train,0-2-5-11-3-11-11-11-11-14-11-11-11-6-4
train,3-4
validation,65-57-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-65-57-66
validation,1-1-1-57-65-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-57-65-66
train,1-1-1-57-65-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-65-57-66
test,1-1-1-1-1-14-57-65-38-39-66
train,38-57-38-39-65-57-66
train,27-9-16-1-1-3-4
train,3-5-11-11-11-11-11-11-11-11-6-4
train,14-57-65-38-39-38-38-39-38-38-39-66
test,38-57-38-39-57-65-66
train,1-14-5-11-3-11-11-11-6-27-27-5-11-11-6-4
train,3-4
train,57-65-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-57-65-66
train,5-11-11-11-11-11-11-6-0-2-0-2-0-2-1-5-11-3-11-6-5-11-11-6-5-11-11-6-4
validation,14-5-11-3-11-11-11-6-4
validation,57-65-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-57-65-66
train,1-1-14-5-6-14-0-2-0-2-3-4
train,5-11-11-11-3-4
train,11-11-11-11-3-4
train,11-6-3-4
train,3-4
train,65-57-38-39-38-38-39-38-38-39-38-38-39-66
validation,5-6-5-1-1-6-5-11-11-6-3-4
train,3-4
train,3-4
validation,5-11-11-11-11-3-6-4
train,3-4
validation,3-4
train,5-11-11-11-11-6-3-4
train,5-6-3-4
train,5-11-11-6-3-5-11-11-6-4
train,65-57-38-39-38-38-39-38-38-39-66
train,68-1-1-69-57-65-38-39-66
train,68-1-1-57-65-38-39-38-38-39-38-38-39-66
train,1-1-57-65-38-39-66
train,5-11-11-11-11-6-1-1-9-9-9-5-11-11-11-11-6-1-1-14-5-11-11-11-11-11-3-4
train,11-6-5-11-11-6-3-4
train,5-6-3-4
train,5-11-11-11-11-11-11-11-11-6-5-11-11-11-11-6-5-11-11-11-11-11-11-11-11-11-11-11-11-11-11-11-11-6-5-6-3-4
train,3-4
train,5-11-11-6-3-4
train,5-6-3-4
train,5-11-11-11-11-6-5-6-3-4
train,5-11-11-6-3-4
test,5-6-3-4
train,3-4
train,5-11-11-6-3-4
train,5-11-11-6-5-11-11-6-3-4
train,5-11-11-6-5-11-11-11-11-11-11-11-11-6-3-4
train,5-11-11-6-9-27-27-27-9-27-27-27-27-9-27-27-27-9-16-9-3-4
validation,1-1-1-1-57-65-38-39-38-38-39-38-38-39-66
train,1-3-4
test,5-6-5-11-11-11-11-3-4
train,6-3-4
train,5-11-11-6-65-57-38-39-66
train,1-1-1-5-6-14-5-11-11-11-11-11-11-11-11-11-11-6-5-11-11-6-1-1-5-11-11-6-5-11-11-6-3-4
train,5-11-11-11-11-6-3-4
train,5-6-5-11-11-11-11-6-3-4
test,5-11-11-6-3-4
train,5-11-11-6-3-4
train,5-11-11-6-3-4
validation,5-11-11-6-5-11-3-4
validation,11-6-5-11-11-6-3-4
train,3-4
validation,5-11-11-6-3-4
train,5-11-11-6-3-4
train,3-4
train,3-4
train,5-11-11-6-57-65-38-39-38-38-39-38-38-39-66
train,1-1-14-5-11-11-6-3-4
train,5-11-11-6-3-4
validation,5-11-11-6-5-11-11-11-11-6-5-11-11-11-11-11-11-6-3-4
train,5-11-11-6-3-4
train,5-11-11-6-3-4
test,38-57-38-38-65-38-38-39-38-38-39-66
validation,1-1-14-5-11-11-11-11-6-5-11-11-6-3-4
train,5-11-27-11-6-27-0-27-27-2-0-27-2-5-11-27-11-6-3-4
train,5-11-11-11-11-3-4
train,3-4
train,11-11-11-3-11-6-4
train,5-11-3-11-4
train,6-5-3-4
train,11-3-11-11-11-4
train,6-0-2-0-2-5-11-11-11-11-11-11-11-11-11-11-11-11-11-11-6-3-4
train,3-4
train,5-11-11-3-6-4
train,5-6-3-5-11-4
train,11-6-3-4
train,3-4
train,1-1-57-65-38-39-66
train,3-4
train,1-1-1-5-3-6-4
train,56-5-3-11-11-6-4
train,3-4
train,5-11-11-11-11-6-5-11-11-11-11-11-11-11-11-11-3-11-6-4
test,1-65-57-38-39-66
train,0-2-0-2-0-2-5-11-1-1-11-6-3-4
train,3-4
train,5-11-3-11-11-4
test,11-11-3-11-6-4
train,57-65-38-39-38-38-39-66
train,7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-3-4
train,5-11-1-11-6-5-11-11-6-5-11-11-11-11-1-11-11-6-5-11-11-6-5-11-11-11-11-6-5-11-11-11-11-6-5-11-11-6-3-4
train,14-0-2-3-4
train,27-16-5-11-11-11-11-11-11-11-11-6-3-4
train,57-65-38-39-66
train,56-27-5-11-1-1-11-6-3-4
train,5-6-3-4
train,3-4
train,5-11-11-6-3-4
test,65-57-38-39-66
train,0-2-1-0-1-2-3-4
train,3-4
train,5-11-11-11-11-6-5-6-5-11-11-6-3-4
train,3-4
train,3-4
train,3-4
train,56-3-4
train,0-2-0-2-3-4
test,3-4
train,3-4
train,5-11-11-6-3-4
train,5-11-11-6-3-4
validation,3-4
test,38-39-57-65-66
train,57-65-38-39-66
train,1-1-1-1-1-1-65-57-38-39-38-39-66
validation,1-56-3-4
train,5-11-11-6-3-4
train,5-11-11-6-5-11-3-11-4
train,6-5-11-11-6-5-11-11-6-3-4
test,57-65-38-39-66
train,1-1-1-14-5-11-3-11-11-11-11-11-6-4
train,3-5-11-11-11-11-6-5-11-11-6-4
train,27-3-4
train,14-5-6-3-4
train,14-3-5-11-11-6-5-11-11-11-11-6-4
test,1-1-57-65-38-39-38-38-39-38-38-39-38-38-39-66
train,5-11-1-11-6-1-5-11-3-4
train,11-6-3-4
train,5-11-3-4
validation,3-11-6-5-11-4
train,3-4
train,11-6-5-11-11-6-9-27-27-3-4
train,5-11-11-6-1-1-57-65-38-39-38-38-66
train,1-1-5-11-11-11-11-11-11-6-5-11-11-11-11-6-3-4
train,5-3-6-4
train,55-55-5-11-3-11-6-4
train,3-5-6-5-11-11-11-11-11-11-11-11-6-4
test,3-5-6-4
train,3-5-11-11-6-5-11-11-6-4
train,65-57-38-39-38-38-39-38-38-39-38-38-39-38-39-66
validation,38-57-38-39-38-39-57-65-66
train,1-1-55-55-5-11-3-11-11-11-6-4
train,5-3-11-11-11-11-6-4
train,1-1-1-8-8-8-8-9-9-9-3-5-6-9-4
train,14-5-3-6-4
validation,3-5-6-4
train,5-6-3-4
validation,14-5-3-6-4
train,3-4
train,3-5-6-4
train,8-8-8-8-5-3-6-4
train,14-9-5-6-14-5-6-5-3-6-5-6-4
train,14-5-3-6-4
validation,57-65-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-65-57-66
train,22-22-22-1-5-6-14-5-6-8-8-8-8-5-6-8-8-5-3-6-4
train,8-8-5-3-6-8-8-5-6-4
test,14-5-3-6-14-4
train,5-6-3-4
train,5-3-6-4
train,14-5-3-6-4
train,57-65-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-57-65-66
test,3-4
train,3-4
train,55-55-55-55-1-1-8-8-8-8-8-8-5-3-6-4
train,9-9-9-3-4
train,14-3-4
train,8-3-8-4
validation,5-3-6-4
train,57-65-38-39-38-39-66
train,38-57-38-39-57-65-66
test,3-4
train,1-1-3-8-8-4
train,8-3-5-6-4
validation,3-8-8-9-8-4
train,14-5-3-6-4
test,65-57-38-39-38-38-39-66
train,38-57-38-39-57-65-66
train,22-22-7-7-7-7-7-7-7-7-23-14-1-8-3-8-8-8-4
train,3-5-6-8-8-9-4
train,3-4
train,3-4
test,3-4
train,3-4
train,3-4
test,3-4
train,17-18
test,3-4
test,3-15-4
train,1-5-3-6-5-6-4
train,57-65-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-57-65-66
train,14-1-8-3-4
train,5-6-5-3-6-4
train,3-4
validation,22-7-7-22-7-7-7-7-7-7-7-7-7-7-7-7-22-7-5-6-3-5-6-4
train,3-5-6-4
train,3-4
validation,3-4
test,3-4
train,3-4
train,3-4
train,3-4
train,3-4
train,5-6-8-8-8-8-8-8-8-8-5-6-1-1-8-8-8-3-8-5-6-8-36-9-8-4
train,8-8-3-8-4
train,8-3-4
train,3-4
train,14-5-3-6-4
train,57-65-38-39-66
train,38-57-38-39-57-65-66
test,8-3-27-27-27-4
train,8-3-8-8-4
train,14-5-3-6-4
train,57-65-38-39-38-38-39-66
train,38-57-38-39-65-57-66
train,1-1-1-57-65-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-57-65-66
test,70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-22-22-22-22-22-22-22-22-40-40-41-22-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-7-7-7-7-7-7-7-7-7-7-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-13-13-13-13-13-13-13-13-13-13-13-13-13-13-13-13-13-13-13-13-13-13-13-13-13-13-13-13-13-13-13-13-13-13-13-13-13-13-13-13-13-13-13-13-13-13-13-13-13-13-13-13-13-13-13-13-13-13-13-13-13-13-13-13-13-13-13-13-13-13-13-13-13-13-13-5-6-14-5-6-5-6-1-5-35-6-5-3-6-4
validation,5-6-3-5-6-4
train,28-5-6-3-5-6-4
train,3-4
train,3-4
train,5-3-6-4
train,9-9-5-6-3-5-6-9-9-5-6-4
train,1-1-1-1-14-5-3-6-4
train,8-3-8-4
train,3-8-8-8-8-4
validation,5-3-6-4
train,14-5-3-6-4
train,57-65-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-57-65-66
train,22-22-0-2-1-1-0-2-0-2-5-6-8-8-9-9-9-9-9-3-5-6-5-6-4
train,14-5-6-5-6-3-5-6-4
train,5-6-5-6-5-6-14-57-65-38-39-66
train,38-57-38-39-57-65-66
validation,1-8-8-8-8-44-44-1-44-1-44-44-44-44-44-44-44-44-44-44-44-8-8-8-8-3-5-6-4
train,8-8-8-8-8-8-8-8-8-8-8-8-3-4
train,5-6-14-14-5-6-5-6-3-4
validation,3-5-6-4
train,8-8-8-8-8-8-3-5-6-4
train,3-8-4
train,3-8-4
train,14-8-3-4
train,3-4
train,8-8-8-8-8-3-8-8-4
train,8-8-8-8-8-8-8-3-8-8-8-4
validation,22-40-40-41-1-1-8-24-25-8-8-8-3-5-0-2-6-4
test,14-5-3-24-25-6-5-6-5-6-4
train,0-2-8-3-5-6-8-4
train,8-3-5-6-9-8-5-6-8-8-4
validation,14-5-3-6-4
train,65-57-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-65-57-66
train,14-1-8-8-8-8-8-8-3-4
test,3-5-6-4
train,3-4
train,3-4
train,3-36-36-4
train,3-4
train,3-4
train,3-4
train,3-5-6-5-6-4
train,5-3-6-4
test,8-3-5-6-4
validation,8-8-3-5-6-4
train,8-8-3-8-8-8-4
train,14-5-6-5-3-6-4
train,38-39-65-57-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-65-57-66
train,8-1-1-8-8-8-3-9-8-4
train,14-5-3-6-4
train,57-65-38-39-38-38-39-38-38-39-66
train,38-57-38-39-57-65-66
train,1-1-8-8-8-3-4
train,8-5-3-6-4
train,3-4
train,3-36-4
train,5-6-5-6-3-5-6-5-6-4
train,3-4
train,5-3-6-4
validation,5-6-3-4
validation,8-3-8-4
train,14-5-3-12-12-6-4
train,3-27-27-4
validation,5-6-3-4
train,12-12-12-12-12-12-3-27-5-6-4
train,8-1-1-3-9-8-4
train,14-5-3-6-4
train,57-65-38-39-66
train,38-57-38-39-57-65-66
train,7-40-40-41-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-3-4
train,1-1-14-5-3-11-4
train,11-6-5-11-11-11-11-11-11-11-11-11-11-6-3-4
train,14-5-11-11-6-14-3-4
validation,5-11-11-6-5-11-11-6-5-11-11-6-5-11-11-11-11-11-11-11-11-11-11-11-11-6-3-4
validation,14-5-6-3-4
validation,5-11-11-11-11-6-8-8-8-8-8-8-3-4
train,8-8-8-8-3-4
train,8-8-14-5-11-11-6-3-4
test,5-11-11-6-5-11-11-11-11-11-11-6-3-4
train,5-11-11-6-5-6-3-4
train,5-11-11-6-3-4
train,57-65-38-39-38-38-39-38-38-39-66
train,38-57-38-39-65-57-66
train,6-1-1-1-7-65-57-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-57-65-66
train,1-1-1-57-65-38-39-38-38-39-38-38-39-66
train,38-57-38-39-57-65-66
train,1-1-57-65-38-39-38-38-39-66
train,38-57-38-39-57-65-66
train,1-1-65-57-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
test,38-57-38-39-57-65-66
train,1-1-5-11-11-6-5-11-11-11-11-11-11-6-5-11-11-6-5-3-11-11-6-4
validation,24-25-24-25-0-2-0-2-0-2-0-2-0-2-0-2-0-2-0-2-24-25-24-25-55-55-55-55-5-11-11-6-5-11-11-6-5-11-3-11-6-4
train,55-55-3-4
train,3-4
train,3-4
train,55-55-3-4
test,3-4
validation,5-3-6-4
train,8-8-5-6-23-5-6-27-27-16-9-9-1-1-1-3-5-6-4
test,14-27-9-34-28-34-28-35-3-5-4
train,6-5-3-6-4
test,14-5-3-6-4
train,14-9-9-27-9-3-5-4
train,3-6-4
train,28-57-65-38-39-38-38-39-38-38-39-66
train,38-57-38-39-57-65-66
test,1-1-1-1-3-5-6-4
train,0-2-3-4
train,8-8-8-8-0-2-0-2-3-0-2-4
train,3-4
train,3-4
train,0-2-0-2-8-8-8-1-8-1-8-1-8-8-8-8-8-5-6-3-5-6-4
train,27-14-9-9-27-3-4
validation,29-35-29-35-34-35-35-5-3-6-4
train,57-65-38-39-38-38-39-38-38-39-66
train,38-57-38-39-57-65-66
train,1-57-65-66
validation,3-4
test,1-1-57-65-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-57-65-66
train,1-57-65-38-39-38-38-39-66
train,38-57-38-39-57-65-66
train,27-27-27-12-12-1-1-27-9-16-27-16-8-8-8-8-8-8-8-8-8-8-5-3-11-11-11-11-6-4
test,27-9-9-14-9-5-11-3-11-6-5-11-11-11-11-11-11-6-4
train,3-4
train,57-65-66
train,1-1-1-1-1-65-57-38-39-38-39-66
test,38-57-38-39-57-65-66
train,5-11-11-11-11-11-11-6-1-1-1-8-8-8-8-8-8-5-11-11-6-9-9-16-27-27-9-9-5-11-3-11-11-11-11-11-11-11-6-5-11-11-6-4
train,5-11-11-6-3-4
train,27-9-9-27-27-27-3-5-11-14-11-6-4
train,5-11-3-11-11-11-11-4
train,11-11-11-3-11-11-6-4
train,57-65-38-39-38-38-39-38-38-39-38-39-38-38-39-66
train,38-57-38-39-65-57-66
train,38-57-38-39-5-3-11-11-6-4
train,11-6-1-1-3-5-6-4
train,14-5-11-3-11-11-11-6-4
train,3-5-11-11-11-11-11-11-11-11-6-4
train,5-11-11-11-11-6-5-11-3-11-11-11-11-11-6-4
train,1-1-5-11-11-6-12-12-12-12-12-12-12-12-12-12-12-12-12-12-12-12-5-11-11-11-11-11-11-11-11-11-11-11-11-11-11-11-11-11-11-11-11-11-11-6-5-11-3-11-11-11-11-11-6-4
train,51-51-51-51-51-51-51-51-38-39-1-1-57-65-38-66
train,38-39-38-57-38-39-38-39-38-38-39-57-65-38-39-66
train,1-1-3-4
train,3-4
test,27-3-4
train,3-4
train,3-4
train,1-1-1-1-3-4
train,3-4
validation,3-4
train,3-4
train,57-65-66
train,57-65-57-66
train,1-1-3-4
train,3-4
train,5-11-11-6-3-4
train,5-11-3-42-11-6-42-4
train,3-5-11-11-6-5-11-11-6-5-11-11-6-5-11-11-6-4
train,5-11-11-6-3-4
train,3-4
train,3-5-6-4
validation,3-5-11-11-6-5-11-11-6-4
train,5-11-11-6-5-11-3-11-11-11-11-11-6-4
train,14-5-11-3-11-11-11-6-4
train,65-57-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-57-65-66
test,1-0-24-25-2-24-25-24-25-24-25-0-2-0-2-0-2-5-3-11-11-6-4
train,3-5-11-11-11-11-6-5-11-11-6-27-5-11-11-11-11-11-11-6-4
train,14-3-4
train,3-4
train,5-11-3-11-11-11-6-4
train,3-4
train,3-5-11-11-6-4
test,14-5-3-6-0-2-0-2-4
train,5-11-3-11-11-11-6-14-5-11-11-11-11-11-11-11-11-6-4
train,57-65-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-57-65-66
train,65-57-66
train,1-1-3-4
train,1-1-57-65-38-39-38-38-39-66
train,38-57-38-39-7-7-7-7-7-7-7-7-7-22-22-7-41-41-41-41-41-41-41-41-41-41-41-41-41-7-7-7-7-7-7-7-7-7-7-7-7-7-57-65-66
validation,1-1-65-57-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
validation,38-57-38-39-57-65-66
train,1-1-57-65-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-57-65-66
train,1-1-1-65-57-38-39-38-38-39-38-38-39-38-38-39-66
train,38-39-38-38-39-38-38-39-38-57-38-39-57-65-66
train,1-1-57-65-38-39-38-38-39-38-38-39-66
validation,38-57-38-39-57-65-66
validation,5-6-1-1-8-8-5-6-27-27-27-27-9-9-5-3-6-5-6-5-6-4
train,27-9-9-9-9-14-5-3-6-4
train,14-5-3-6-4
train,14-5-3-6-4
train,3-5-6-4
validation,14-5-3-6-4
train,14-5-3-6-4
train,57-65-38-39-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-65-57-66
train,14-1-1-3-5-6-4
train,14-5-3-6-4
train,14-5-3-6-4
train,3-5-6-4
train,14-5-3-6-4
test,14-57-65-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-57-65-66
train,1-1-57-65-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-57-65-66
train,1-1-14-5-6-14-5-6-3-5-6-4
train,14-5-3-6-4
train,3-5-6-14-5-6-4
test,5-3-6-14-5-6-4
train,1-1-65-57-38-39-38-38-39-38-38-39-38-38-39-38-39-66
train,38-57-38-39-65-57-66
train,9-9-5-6-5-6-1-1-3-8-8-5-6-8-8-8-8-4
train,8-3-8-8-8-8-8-4
train,3-5-6-4
train,3-5-6-4
train,14-3-5-6-4
test,65-57-38-39-66
train,38-57-38-39-57-65-66
validation,1-1-1-1-55-55-5-3-9-9-9-9-4
validation,3-6-4
train,14-57-65-38-66
train,38-39-38-57-38-39-57-65-66
train,1-1-14-5-3-6-4
train,3-5-6-8-8-8-8-4
test,3-8-8-5-6-4
train,1-3-4
train,57-65-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-65-57-66
validation,1-5-3-6-4
train,9-5-6-14-8-8-5-3-6-8-4
train,8-3-5-6-4
train,65-57-38-39-38-38-39-38-38-39-66
train,38-57-38-39-65-57-66
validation,1-5-3-6-5-6-4
train,9-14-5-3-6-4
train,14-5-3-6-4
train,0-2-0-2-0-2-27-3-4
train,14-5-6-3-5-6-4
train,57-65-38-39-66
train,38-57-38-39-65-57-66
train,6-1-5-3-9-6-4
train,9-27-27-5-6-3-5-6-4
train,14-5-3-6-4
test,57-65-38-39-38-38-39-38-38-39-66
train,38-57-38-39-57-65-66
test,6-27-1-5-3-6-9-4
train,27-5-6-3-5-6-4
train,14-5-3-6-4
validation,65-57-38-39-66
test,38-57-38-39-65-57-66
train,1-57-65-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-57-65-66
train,40-40-41-22-1-22-7-14-7-7-7-7-7-7-7-7-7-7-7-3-5-4
train,3-6-4
train,9-9-65-57-38-39-38-38-39-38-38-39-38-38-39-66
train,0-2-1-8-8-5-6-3-5-6-4
train,14-3-5-6-4
train,9-5-3-4
train,3-6-4
test,57-65-38-39-38-38-39-38-38-39-38-39-38-38-39-66
train,38-57-38-39-57-65-66
train,1-5-3-6-4
train,9-9-5-3-6-4
train,14-8-8-5-3-6-4
train,14-5-6-27-27-27-3-4
validation,5-3-6-4
train,9-3-4
train,14-5-3-6-5-6-4
train,27-27-57-65-38-39-38-38-39-66
test,38-57-38-39-57-65-66
validation,6-28-1-14-14-5-3-6-4
train,9-14-5-3-6-4
train,8-8-5-3-6-4
train,65-57-38-39-38-38-39-66
train,38-57-38-39-65-57-66
train,8-5-6-8-8-8-5-6-1-3-5-6-4
train,14-5-3-6-4
train,5-3-6-4
validation,57-65-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-57-65-66
train,12-12-8-8-5-6-1-3-5-6-4
train,14-5-3-4
train,3-9-6-4
train,57-65-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
test,38-57-38-39-57-65-66
train,5-6-8-8-1-3-5-6-4
train,14-5-3-4
train,3-6-4
validation,1-1-1-3-4
train,5-3-4
train,3-4
train,3-6-4
test,1-1-1-48-67-48-67-1-1-1-1-1-1-3-4
train,14-3-5-4
validation,3-6-4
test,57-65-38-39-38-38-39-66
train,38-57-38-39-57-65-66
test,1-1-57-65-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-57-65-66
test,1-1-65-57-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-57-65-66
validation,1-1-38-39-57-65-38-39-38-38-39-38-38-39-38-57-66
train,38-39-57-65-66
train,1-1-65-57-38-39-38-38-39-38-38-39-66
