type,sequence
train,1-3-4
train,17-5-11-11-11-11-6-18
test,5-11-11-11-11-6-1-5-11-3-11-6-4
train,17-5-11-11-11-11-6-18
test,1-17-5-11-11-11-11-18
train,6-7-7-7-7-7-7-7-7-7-7-0-2-0-2-5-11-11-11-11-11-11-6-3-4
validation,5-11-11-11-11-6-3-5-11-11-6-4
train,36-17-18
train,1-1-1-5-17-11-11-11-11-11-18
train,11-6-5-11-11-11-11-11-11-11-11-6-3-4
train,5-6-11-3-11-11-11-4
train,5-11-3-11-11-11-11-11-6-4
train,9-17-5-11-11-11-11-11-11-11-11-11-11-11-11-11-11-11-11-11-11-11-18
train,1-17-5-11-11-11-11-6-18
train,1-5-11-3-11-6-4
train,17-5-11-11-11-11-11-11-18
train,1-5-17-11-18
train,1-17-5-11-11-11-11-11-11-6-18
train,6-1-5-17-11-11-11-11-11-18
train,1-17-5-11-11-18
train,6-5-11-11-6-3-4
train,6-1-1-1-17-5-6-18
train,8-8-8-8-8-8-5-3-6-5-6-28-28-4
train,3-5-6-4
train,6-1-5-17-6-18
train,1-1-1-1-1-17-18
validation,22-22-3-4
train,17-18
train,40-40-41-40-40-41-40-40-41-40-40-41-3-4
train,3-4
train,3-4
train,3-4
train,5-6-14-5-6-5-6-5-6-5-6-1-5-1-1-1-6-8-1-8-8-8-5-6-3-5-6-4
train,28-43-34-3-5-6-5-6-4
train,8-8-3-5-6-4
train,3-4
train,3-4
train,22-40-40-41-22-7-7-7-7-7-7-7-7-7-23-3-5-4
validation,3-4
train,6-5-3-6-4
train,3-4
train,3-4
train,3-4
test,3-5-4
train,6-5-3-6-4
train,5-3-4
train,6-3-5-6-5-6-4
validation,5-6-5-3-6-36-4
train,3-5-4
validation,6-3-5-6-4
train,5-6-3-4
train,3-4
train,3-4
train,3-4
train,5-3-6-4
test,3-5-6-5-6-4
test,17-5-18
train,6-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-23-3-5-6-4
train,3-5-6-5-6-4
